food,merge
"Applesauce, canned, unsweetened, with added ascorbic acid",
"Applesauce, unsweetened, with added vitamin C",
"Applesauce, unsweetened, with vit C added",
"Apricot nectar, canned, with added ascorbic acid",
"Apricot, with skin, pitted, raw",
"Apricot, with skin, raw",
"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",
"Apricots, canned, heavy syrup pack, with skin, solids and liquids",
"Apricots, canned, heavy syrup pack, without skin, solids and liquids",
"Apricots, canned, heavy syrup, drained",
"Apricots, canned, juice pack, with skin, solids and liquids",
"Apricots, canned, light syrup pack, with skin, solids and liquids",
"Apricots, canned, water pack, with skin, solids and liquids",
"Apricots, canned, water pack, without skin, solids and liquids",
"Apricots, dehydrated (low-moisture), sulfured, stewed",
"Apricots, dehydrated (low-moisture), sulfured, uncooked",
"Apricots, dried, sulfured, stewed, with added sugar",
"Apricots, dried, sulfured, stewed, without added sugar",
"Apricots, dried, sulfured, uncooked",
"Apricots, frozen, sweetened",
"Apricots, raw",
"Arrowhead, cooked, boiled, drained",
"Arrowhead, raw",
Arrowroot flour,
"Arrowroot, raw",
"Artichokes, (globe or french), cooked, boiled, drained",
"Artichokes, (globe or french), frozen, cooked, boiled, drained",
"Artichokes, (globe or french), frozen, unprepared",
"Artichokes, (globe or french), raw",
"Arugula, baby, raw",
"Arugula, raw",
Ascidians (tunughnak) (Alaska Native),
"Asparagus, canned, drained solids",
"Asparagus, canned, no salt added, solids and liquids",
"Asparagus, canned, regular pack, solids and liquids",
"Asparagus, cooked, boiled, drained",
"Asparagus, cooked, boiled, drained, with salt",
"Asparagus, frozen, cooked, boiled, drained",
"Asparagus, frozen, unprepared",
"Asparagus, green, raw",
"Asparagus, green, whole spear, raw",
"Asparagus, raw",
"Avocado, Hass, peeled, pit removed, raw",
"Avocado, Hass, peeled, raw",
"Avocados, raw, California",
"Avocados, raw, Florida",
"Avocados, raw, all commercial varieties",
"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained",
"Balsam-pear (bitter gourd), leafy tips, raw",
"Balsam-pear (bitter gourd), pods, cooked, boiled, drained",
"Balsam-pear (bitter gourd), pods, raw",
"Bamboo shoots, canned, drained solids",
"Bamboo shoots, cooked, boiled, drained",
"Bamboo shoots, raw",
"Bananas, Overripe",Bananas
"Bananas, dehydrated, or banana powder",
"Bananas, overripe, medium size",Bananas
"Bananas, overripe, raw",Bananas
"Bananas, raw",Bananas
"Bananas, ripe",Bananas
"Bananas, ripe and slightly ripe, raw",Bananas
"Bananas, ripe, medium size",Bananas
"Bananas, slightly ripe",Bananas
"Bananas, slightly ripe, medium size",Bananas
Baobab powder,
Barley flour or meal,
Barley malt flour,
"Barley, flour",
"Barley, hulled",
"Barley, pearled, cooked",
"Barley, pearled, raw",
"Basil, fresh",
Beans snap canned drained,
"Beans, Dry, Black (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8000 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8002 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8003 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8013 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8015 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8016 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8020 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8023 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8029 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8036 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8039 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8044 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8045 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8046 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8062 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8112 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8116 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8117 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8119 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8122 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8123 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8129 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8135 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8140 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8146 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8150 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8158 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8168 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8177 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 11F-8180 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 214 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 215 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 219 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 221 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 222 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 223 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 225 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 227 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 232 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 238 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 244 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 247 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 248 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 249 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 250 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 251 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 254 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 258 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 259 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 263 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 266 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 267 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 269 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 271 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 273 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 274 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 276 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 278 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 282 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 286 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 288 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 291 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 296 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 297 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 298 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 301 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 303 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 304 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 305 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 310 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 314 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 317 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 318 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 331 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 348 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 395 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 424 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 472 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 522 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 526 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 528 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 529 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 531 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 533 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 534 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 536 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 537 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 542 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 545 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 547 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 550 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 552 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 553 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 562 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 566 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 569 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 570 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 572 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 573 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 574 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 575 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 580 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 583 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 590 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 592 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 596 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 597 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 600 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 601 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 602 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 604 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 607 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 608 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 610 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 611 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 615 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 617 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 619 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 620 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 624 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 625 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 707 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 737 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 745 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 753 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Black, 767 (0% moisture)","Beans, Dry, Black"
"Beans, Dry, Brown (0% moisture)","Beans, Dry, Brown"
"Beans, Dry, Brown, 351 (0% moisture)","Beans, Dry, Brown"
"Beans, Dry, Brown, 679 (0% moisture)","Beans, Dry, Brown"
"Beans, Dry, Carioca (0% moisture)","Beans, Dry, Carioca"
"Beans, Dry, Carioca, 11F-8001 (0% moisture)","Beans, Dry, Carioca"
"Beans, Dry, Carioca, 11F-8104 (0% moisture)","Beans, Dry, Carioca"
"Beans, Dry, Carioca, 217 (0% moisture)","Beans, Dry, Carioca"
"Beans, Dry, Carioca, 622 (0% moisture)","Beans, Dry, Carioca"
"Beans, Dry, Cranberry (0% moisture)","Beans, Dry, Cranberry"
"Beans, Dry, Cranberry, 11F-8022 (0% moisture)","Beans, Dry, Cranberry"
"Beans, Dry, Cranberry, 11F-8131 (0% moisture)","Beans, Dry, Cranberry"
"Beans, Dry, Cranberry, 378 (0% moisture)","Beans, Dry, Cranberry"
"Beans, Dry, Cranberry, 750 (0% moisture)","Beans, Dry, Cranberry"
"Beans, Dry, Dark Red Kidney (0% moisture)","Beans, Dry, Dark Red Kidney"
"Beans, Dry, Dark Red Kidney, 11F-8040 (0% moisture)","Beans, Dry, Dark Red Kidney"
"Beans, Dry, Dark Red Kidney, 11F-8074 (0% moisture)","Beans, Dry, Dark Red Kidney"
"Beans, Dry, Dark Red Kidney, 11F-8130 (0% moisture)","Beans, Dry, Dark Red Kidney"
"Beans, Dry, Dark Red Kidney, 11F-8132 (0% moisture)","Beans, Dry, Dark Red Kidney"
"Beans, Dry, Flor de Mayo (0% moisture)","Beans, Dry, Flor de Mayo"
"Beans, Dry, Flor de Mayo, 443 (0% moisture)","Beans, Dry, Flor de Mayo"
"Beans, Dry, Flor de Mayo, 823 (0% moisture)","Beans, Dry, Flor de Mayo"
"Beans, Dry, Great Northern (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8008 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8010 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8025 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8051 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8052 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8053 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8060 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8063 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8067 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8068 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8077 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8085 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8087 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8090 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8092 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8093 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8097 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8110 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8113 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8125 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8128 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8134 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8138 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8139 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8141 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8145 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8152 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8155 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8163 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8171 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8172 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8184 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8185 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8192 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 11F-8194 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 235 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 293 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 306 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 315 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 327 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 335 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 337 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 339 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 341 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 346 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 350 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 363 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 364 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 375 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 379 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 380 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 384 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 385 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 387 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 392 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 396 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 401 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 402 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 406 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 407 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 412 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 415 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 418 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 423 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 429 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 434 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 438 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 441 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 444 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 446 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 447 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 449 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 453 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 457 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 458 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 460 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 467 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 474 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 485 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 495 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 501 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 507 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 514 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 518 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 519 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 579 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 581 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 594 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 616 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 637 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 638 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 644 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 648 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 651 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 655 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 656 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 658 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 662 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 666 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 672 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 675 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 680 (0% moisture)","Beans, Dry, Great Northern"
"Beans, Dry, Great Northern, 683 (0% moisture)","Beans, Dry, Great Northern"
